ParameterValue,flocking index,Gene0_avg,Gene0_std,Gene1_avg,Gene1_std,Gene2_avg,Gene2_std,Gene3_avg,Gene3_std,Gene4_avg,Gene4_std,number_fish
0.005,0.12270241613961896,0.47595328860273595,0.3055557258767192,0.5231665885005603,0.29505177727190957,0.5406889523316091,0.2810429902271096,0.4762518045641662,0.28191853907189707,0.5390801771658478,0.2820487506668676,48
0.005,0.1200633318034554,0.42764297050407174,0.25153540551432396,0.5023788630460551,0.29080872281999576,0.48798576962835305,0.28272739071685177,0.49254819978857745,0.2529517716411112,0.5216521299949394,0.25758655187235685,48
0.01,0.12451900337546444,0.4613324831401788,0.30981431961414174,0.5149428195365643,0.28865735678906124,0.4360666531114367,0.32046144853417335,0.5690754496330119,0.2440344227784359,0.46165082344019737,0.26298979764621705,50
0.01,0.11663663934549874,0.4197080300529717,0.29102009781614246,0.43129282540348823,0.29022486255447727,0.49024500623458184,0.30073356896404374,0.4255285724789582,0.2994653622846549,0.45850958253699087,0.275617764089037,48
0.015,0.11287069565999695,0.5252174378641102,0.25529949973059635,0.505519071385273,0.2777270817368048,0.46908383904956963,0.2893322957962389,0.5625064592498786,0.3140560127041684,0.5584059853675614,0.3026917819803186,48
0.015,0.11590066752420558,0.5017058681704762,0.27812698810573855,0.4931963055104868,0.3024886210804356,0.46120067999312575,0.26429825423284226,0.5212561647226799,0.22420978356703658,0.5046864544558891,0.3062993814430498,46
0.02,0.11660944774693105,0.5103458524020404,0.31253180794421065,0.548587377070266,0.2625848952267992,0.5205986936181942,0.28625105471264195,0.5336959728822047,0.2768728507204059,0.40483270435466323,0.2847694508925361,48
0.02,0.13026526553447634,0.4263041137690299,0.28042327537296224,0.4739491047494365,0.2761460926598513,0.4676395819587562,0.2770887912015505,0.5161161543611196,0.3029723162733625,0.4417787377061677,0.28971074307507627,55
0.025,0.1109819463363102,0.5205064167577712,0.282356561584332,0.5322275884814496,0.3017816749668784,0.5287479000700881,0.27930560607095267,0.5331444378681439,0.29113922384427326,0.49216334002643913,0.2788873731786758,54
0.025,0.10820351167254431,0.5146731897883253,0.2917422094220325,0.45631609520488947,0.28503915100242944,0.415104915670016,0.29479348778562825,0.47490487821701255,0.2818243621732713,0.5240292302709317,0.26467530374182086,51
0.030000000000000002,0.1208798264506462,0.45158017586132865,0.30054368548964117,0.5117935153701245,0.2873596133395045,0.5537835755219657,0.28144646334678447,0.44842568129727534,0.2825704772786051,0.49631121869451017,0.32138690539932524,55
0.030000000000000002,0.11942449261267592,0.5343793944699218,0.29180587207776243,0.56027368534309,0.28410665295612,0.49391889832987956,0.25001390756329306,0.4581059046953752,0.285082956811315,0.4689183183880255,0.28158785485497057,59
0.034999999999999996,0.11871315387287792,0.5081806552690435,0.28450318298316746,0.49805145110399823,0.28406473824322787,0.4855046871048271,0.2860064318339624,0.44642361550843584,0.2555962103866605,0.5378416773719988,0.2879760576528887,52
0.034999999999999996,0.1113562439849029,0.49124185482333904,0.2385962056328066,0.5448724630829792,0.29596667865080317,0.39571637837541634,0.31688824126921517,0.5509869691742659,0.28500081622515766,0.48649885622426453,0.2774497117756142,64
0.04,0.12395426671402032,0.5024374778288035,0.3188731256041493,0.5406826509933241,0.25132939189655695,0.49920477275974595,0.31940510243726544,0.4798502466130236,0.3317833439559827,0.5032710966515299,0.2869627328743538,55
0.04,0.11612529797352147,0.5908299568904888,0.24541694031067188,0.47207633523667486,0.22453222490289793,0.6201518460656343,0.24574802586174127,0.4409880675813457,0.2408251727517482,0.42774352644795605,0.2335672686592096,68
0.045,0.11956100481458147,0.49262885932555867,0.2535994015462351,0.5070901607428122,0.2805994636653521,0.45412596167510905,0.2647706374572247,0.5418794191072746,0.22919633990910027,0.41274241259693967,0.28736461399595076,67
0.045,0.10624239248964885,0.5895019161718925,0.25567276722541105,0.5119989234009078,0.2909693119577406,0.6104292875247169,0.2809326498898989,0.5477591657588639,0.28624313641334675,0.44698201588618275,0.3095508681311461,59
