ParameterValue,flocking index,Gene0_avg,Gene0_std,Gene1_avg,Gene1_std,Gene2_avg,Gene2_std,Gene3_avg,Gene3_std,Gene4_avg,Gene4_std,number_fish
10,0.14741696390018047,0.7342512767597129,0.08328662001704162,0.3807679155121491,0.1051279471556032,0.7816647074833282,0.10996002413797068,0.4871616634120734,0.4523455923160786,0.41361082555191037,0.18038461459200308,100
10,0.15816794644365573,0.6246849000217546,0.20290099004563075,0.8533241890630725,0.13553792828974587,0.9209712176675512,0.06655620662055034,0.840446803134489,0.21659745588019766,0.6521895782476582,0.24293785464802042,99
10,0.16377449203362712,0.6384685382712337,0.0681790020689095,0.6315102536555984,0.07477192945300566,0.30882653058099474,0.10694397870450707,0.4342365505678537,0.2934692185870909,0.35959642424846,0.23519919825050098,100
10,0.17919936681406673,0.631479805571469,0.21526043268710623,0.8263707746665662,0.10002091716715637,0.4465188411456843,0.14065302046757533,0.4060309447012313,0.243112806204531,0.353275642070234,0.26233388520759987,99
10,0.17797688695191444,0.7309574951512314,0.1220140855475841,0.4620445782371273,0.1984278478292663,0.6299907011518664,0.14881776828417162,0.5460717935722343,0.2836950293643029,0.48739889543936904,0.3370578418363938,95
10,0.18319803873083196,0.8535029588390556,0.07980551986422971,0.5869275888426015,0.13160545252545627,0.105064611273309,0.15889294593342468,0.2715973365979536,0.1642489783919104,0.14584154552429088,0.1302123499664969,100
10,0.1957285888573102,0.894999952793658,0.2173565435103624,0.9012026403736192,0.2200963806833761,0.4012758227287281,0.21724044195968392,0.7511172338674021,0.3202319769402535,0.40989879039661825,0.28004152511342795,99
10,0.15379383205798247,0.6571726153664259,0.066728897005077,0.7274808989442471,0.1990146623419639,0.5962169200501477,0.10807313752423278,0.950778158024501,0.25178209370029436,0.23411352587592177,0.05440034218091269,98
10,0.1502953964880022,0.6772161133116577,0.24503694132772916,0.455541618440689,0.143544154034354,0.3032716302069445,0.21185974123649604,0.6480382619626047,0.10641626735153047,0.542306432808301,0.11042400313990905,99
10,0.15728694461719084,0.7522087250933219,0.10759546389810934,0.5811715883546048,0.11829123102973385,0.5337110206855554,0.3097522304363551,0.3662975605261499,0.14122173443482422,0.7024990008430946,0.12675768155444705,99
15,0.12563753307264813,0.9723051133507253,0.12604393926703164,0.2704569289487715,0.14107059609850825,0.2860800517289391,0.08680104917689521,0.33175239422657943,0.2185567128801783,0.36980918585107136,0.0965910434325585,98
15,0.14398430041070723,0.37382994393237323,0.12106481343742381,0.7271557333397445,0.15676126351042619,0.28170320139908633,0.12907020490197152,0.8037644127970685,0.21217906634212808,0.7161711553938329,0.22950339047606177,96
15,0.16848513979631533,0.7005631476248635,0.21215448020445465,0.4272409639342147,0.39492278222295885,0.06894046527137218,0.08932232481364305,0.7222702595467378,0.34111613320948775,0.3632646417514676,0.23810389512580965,89
15,0.13866403051046317,0.526483547916977,0.10270014402267899,0.45283315595210477,0.1652653403728807,0.7160736421430006,0.11195076967831422,0.20751586442479072,0.12801921578350445,0.5379158240708805,0.11640054624886356,99
15,0.1510680178483369,0.4956117526964645,0.31163440242618423,0.410706752688772,0.0940400278712739,0.16838432063101946,0.18631783000886887,0.5067004889131722,0.24531249234037508,0.5345570136173285,0.09963448607035648,97
15,0.17418468765957282,0.8105318152116447,0.10651438075039592,0.8216268843278098,0.24121852839276106,0.2672422154173435,0.19558810962687187,0.726398692320587,0.2947074671899892,0.13071154199264906,0.09145621429028165,99
