ParameterValue,flocking index,Gene0_avg,Gene0_std,Gene1_avg,Gene1_std,Gene2_avg,Gene2_std,Gene3_avg,Gene3_std,Gene4_avg,Gene4_std,number_fish
0.001,0.12485487911006646,0.526585699154678,0.2860876122619301,0.5233033006070693,0.26236738297175843,0.44339271593396695,0.2971479461196975,0.48137772293444797,0.29569006246226104,0.44946254743675407,0.26630921259654117,63
0.001,0.11738261519277558,0.5431720888127932,0.30450102637086107,0.44927615906885576,0.31710165030804627,0.46385364506447,0.32525292078308937,0.49455879602549496,0.251615078905502,0.47523585331388724,0.32403043044921587,56
0.002,0.10578632509692405,0.49422138223584955,0.28698335707975603,0.47660823298277155,0.2803314418862811,0.5643563159264383,0.2757448725013848,0.48907560368495046,0.27458796234613764,0.5453829450751779,0.2827476087832178,51
0.002,0.10807719703694915,0.4625465777731317,0.2775268380604856,0.5546885896057727,0.28188585322190796,0.5219237846283081,0.3046561048571023,0.4540771542040681,0.29414732629715046,0.48675020709569133,0.26858729554663363,53
0.003,0.11684549407985503,0.5493218123208212,0.2801534310324919,0.544784414768155,0.29088694139564253,0.4748349365558833,0.28752800683696406,0.5647268058558506,0.2918280680439018,0.5660077843671866,0.29511557009019157,53
0.003,0.11982689578180009,0.4464355807427313,0.30401551598471854,0.5724717327577216,0.30553155511909386,0.5295076468557139,0.291546760887442,0.4692080424913892,0.2803064090814301,0.5110169621554632,0.31396837463148153,56
0.004,0.12312359617455348,0.45737750480841716,0.27153248603100444,0.49739679756627636,0.3018090575521819,0.63395935952966,0.25686726006574934,0.4174795130967551,0.2643486059922241,0.4689911254207423,0.3006153727596135,54
0.004,0.12058167683759187,0.5643992154965004,0.27870760628656616,0.5208590601833372,0.28202485928104337,0.5233582278375373,0.2882256461446493,0.42757909994974147,0.2848688439615211,0.5842157177783914,0.2742410454431213,51
0.005,0.12251511684877675,0.422231138667535,0.2749492257306716,0.5641698508001962,0.30151849533620945,0.5582959727242371,0.2961969780747213,0.5446433122997805,0.30383827647782913,0.4993682497905397,0.2748522985595591,51
0.005,0.1286053415502828,0.4287773773969398,0.2959190040822187,0.4651608482532411,0.24238008903034008,0.40488438579870695,0.2770376729734336,0.5951358783406723,0.2919441720364525,0.5270639494085172,0.2808605821459776,58
0.006,0.11477391708832352,0.4982617863942726,0.28160770527850376,0.548690119008864,0.2590119738813789,0.5625905842682725,0.27575548919326115,0.5362056640243076,0.27169125157986806,0.48674189900051673,0.2584161759481883,52
0.006,0.12820284989979375,0.4987936113640623,0.28148618267198067,0.48956479211785964,0.27461356642877355,0.5048277500273384,0.30885016810835314,0.51050147015732,0.2902537746113717,0.5377874601357507,0.2864931071161478,56
0.007,0.11714836283894095,0.5770992424084441,0.298809417298691,0.43003571629506276,0.2608367595022542,0.5411567008993812,0.2544159455362628,0.5556760420290338,0.2732941344557402,0.49116060170269965,0.30383755755649666,59
0.007,0.1198930263855224,0.44789489312855785,0.3010766581655211,0.469263740602602,0.2798104883573911,0.4958647347849896,0.30646929654920696,0.5210349794102022,0.2937302228266544,0.542014438125944,0.2786617267738271,56
0.008,0.12340958538701606,0.5725649741586707,0.265667155013486,0.5283927828189621,0.29638751593502377,0.5477262502003131,0.29922486922715946,0.5338370851372725,0.2749803581604697,0.552808196502741,0.2974641154123578,58
0.008,0.11875600549792205,0.5096140713156793,0.29723351046778207,0.5821510016567567,0.2507916014125623,0.48994449371479415,0.2896868017808375,0.46433275527438517,0.30533744463824203,0.5276072942834398,0.2831614386810581,57
0.009000000000000001,0.1129837851670006,0.5110995288659805,0.28536017848728434,0.5780970117728699,0.2873603780731221,0.4503697710637357,0.29185838870381836,0.5529540611443824,0.3285752989987441,0.5120409402427157,0.24719735492237738,54
0.009000000000000001,0.13663064891013868,0.46512410260127357,0.29799068631863374,0.5001270230365387,0.29833551446377904,0.5681068059116593,0.32725896315924247,0.4763989927424776,0.26622942419984136,0.48917538329479165,0.32940420902931633,59
