ParameterValue,Gene0_avg,Gene0_std,Gene1_avg,Gene1_std,Gene2_avg,Gene2_std,Gene3_avg,Gene3_std,Gene4_avg,Gene4_std
1,7.5278931658573205,5.428920457283428,3.01485929634213,4.182860908915992,3.432121096947775,5.3953934948493,3.832732157578218,4.9709964471524115,6.928728652569941,4.462154706194018
1,8.343109657479802,5.625927863976179,6.164040284508964,5.5700010789274295,6.5499364455843105,4.828378278264617,5.376071441824173,5.8245486601945435,6.886347101831994,4.281772839623201
1,5.629152881596523,6.010969222082305,6.39769647996911,4.05459843524055,3.9470395349065197,3.810065983619441,3.757991585152799,6.301922517736454,5.493366147183274,4.030450106605206
1,7.076137764038359,3.9104173873042303,4.354780656363178,3.917144088939593,4.99407998000895,6.738482392227632,3.6492545819846156,3.5536146565059643,5.021517416224342,3.409751426872304
1,3.632329470429092,5.173218959743033,5.404345923345618,5.2061654740875305,3.6057047571299976,5.27875509607928,5.318573727131933,3.2010994280031615,2.556945548524914,4.211307201693799
1,2.820336265796884,5.6876917615732925,7.117909131861114,5.023936331564191,3.681818568910056,4.764334282003791,5.889130289561091,3.8735544391525942,6.729356848259689,2.7552340967268387
1,5.2035429959607455,4.492181442614996,4.776996212488824,4.53502210128603,6.374766070306402,4.390448209023093,4.363180198450766,4.683749607330283,4.204914895430244,4.551533082525232
1,4.7418333762839335,4.393072611105504,4.105264858424633,3.7547207627412154,5.445799918222203,4.07327883026161,4.51168255114273,3.893850358206038,5.608093111759535,4.47829076748422
1,6.039199755417168,4.373756734080125,2.6471649655143787,6.461440169230764,6.991814773926314,4.290194648558044,5.7824628338427555,5.27158578998073,10.308289701284991,6.2089036560132795
1,3.004418958154985,4.836390648525394,4.678606502126225,5.530201666055957,5.162525355579201,4.603692860479943,4.608563343264449,6.225845888546328,4.226855938901305,4.996727628793661
1,5.400526787558346,4.848120637148233,7.487093155791225,4.145672770848529,2.0592110840276945,5.911419668839092,6.235620150135639,4.816652357956615,3.328663563367061,4.460285110454685
1,5.327008585347902,5.961179543701147,4.07092689138123,4.581196908517336,3.744867538989621,5.536498077944662,3.4534573652259413,3.919597833169646,5.316798407664438,5.324054891101245
1,4.104564570050963,5.902379321755779,5.579989070954473,4.416298212573652,4.993723555458995,5.280790118881193,3.6862184748727556,5.673905062955776,6.6741806868847355,3.865832322028513
1,6.3090832544361675,5.331574314860401,5.103037218134147,5.1608534280130955,3.3551163944517017,5.163115651726955,5.421485391042597,4.613718531716604,4.179979703758979,5.734053787362247
1,6.400656609243942,3.791786948171019,3.1616959258105064,4.777866939442182,5.633265046590718,4.802715584715994,1.6075282633984096,4.23468399596822,6.196246044844276,5.2106738947371065
1,5.685449408305694,6.134689505838674,3.649615541028987,6.327048126989417,4.406094741220763,4.1726218733473255,3.8758741529192196,4.517442062746674,7.101698767617748,4.63498699448828
1,4.742642863953968,3.1207511235655145,5.4810163716385905,4.069988810948274,3.9110073710637088,5.230941833047238,5.527965243231996,4.734844358278996,5.530562827246346,3.169107136681352
1,1.717723029859964,2.5066622202630238,4.631002076588562,2.679475663316018,2.777591318576151,4.545034914678387,3.1290829739168107,5.158250074968106,5.501653338979977,1.5462202643010383
1,4.748412314851039,6.155618132136155,3.8814508230338607,5.385262288183389,5.00112047093174,3.212126834853081,6.6944925494935354,3.298631854527363,6.421909635099708,4.841368853064666
1,5.450457582144589,4.805369300487485,5.105221991395132,5.056088539846407,3.663092514708843,3.834035834810541,6.68542523755156,4.836526232811906,5.054294272223032,5.418986307919304
1,6.177308803345703,2.81903328875468,5.798408259005957,5.439077094262099,3.3646760522940764,5.100571543252483,4.751985544412495,4.942387338698789,2.44085178048598,5.0229376335871985
1,5.158460773414425,5.3701378401750155,3.4975955022697027,6.018800236840946,4.264462935443432,5.4429478892826015,4.527698252207625,6.76074812477245,6.539981528972203,3.7322558877571423
1,5.715691808258257,4.1208443551507115,4.9555739305753,4.296417486235729,7.348634852984219,4.377621305031348,5.373924000364893,6.294928340162867,4.996994342294504,5.155169758741404
1,6.192106010596893,3.1398027490996796,7.41226408306544,6.327026970158788,5.199723196657882,4.706812426755931,5.5700536456671825,4.553033026485221,5.451954207477946,3.880165901256074
1,8.071651955855442,3.4922932004103022,4.5951229854284605,4.437348325963972,5.992939526624956,4.009277098353539,2.756115609862527,4.6824251320621455,5.2303597365561085,5.281021409210347
1,4.514192914676005,4.606787455528386,4.089455795633756,4.557358333760215,6.321358470663297,4.180496544175259,5.485237794534565,5.033554886253428,5.635412720033207,2.9034531496412366
1,4.2044547583662535,6.91888461413364,3.6750294730576174,4.468431029945725,3.454257099852151,4.999402380639797,5.420503218916446,4.544399721731272,3.930073272416476,5.523861848617505
1,4.21558603300273,5.519347607152987,2.657900435244698,3.7851494697529775,4.81451571583117,4.299455905549597,7.106022203998118,5.314020433956093,4.49719648908112,5.1529886148507895
1,3.703289732984093,5.290248484579425,6.584683791395359,5.602946819618515,3.398520427136929,4.896730536707222,6.037528479691078,5.479297035663624,7.215547817321917,5.320218741247368
1,4.569780043255676,5.996190197411722,3.463556680429222,3.8215385455851836,3.6216985525768584,4.707533154338059,6.791800674146943,4.9015057474556,6.544253810244384,4.509397027927046
2,5.036496395749226,5.539736168688395,5.321073067725183,4.370325696890589,6.115206297733302,4.312837792237898,5.81829073174081,4.547741525670584,4.650073574252959,6.838155714859813
2,5.658818955432479,3.699939524334799,3.9452519971115234,4.16250160171591,2.9689487777930417,3.844905239056161,3.007971465593162,4.769513797025395,4.851070222386566,7.119133995037544
2,4.542257003564781,5.208134195862368,5.533201761188169,4.975404390094173,2.772422283056527,5.097719685794918,3.2145223893954133,5.662501210507605,4.945740408083403,5.142886362114556
2,4.226724363704894,4.5702662549289155,3.869985007683672,4.230849686330988,4.745253938439809,3.663891650203598,3.61501333788527,5.039136872935267,3.5054630376292977,4.379998682191559
2,4.005215673903494,5.066398106227593,4.2924743491608535,4.220072146774768,6.0321212334506855,6.157972566966768,5.055877123994086,3.9794759275575577,4.270182248632693,4.640136614079167
2,5.950851490337554,4.3469069461783345,3.7178230522454245,4.415421027290858,5.308956012681708,4.540887596613026,6.633643066939387,5.287543579586962,5.733400731605413,5.238859448289966
2,4.563799475762246,5.046241302717248,3.679383591609392,4.5800045826568905,5.052313431715475,3.613418793022285,4.629199813321217,5.034858586016429,5.709733309894798,7.099197412975457
2,6.843285106988589,4.504155699360563,5.199691529798173,5.370651087938724,4.172030191062965,4.660824588608687,6.46047543382227,4.034623482555269,7.114564459388102,3.7619674330910913
2,3.613249912736623,5.496802179541099,6.967345119071723,4.364159434281766,5.842458894555471,4.828998650123867,4.16094958458344,3.3760104804472006,5.436048002048708,5.758146115136106
2,7.567335948994174,5.4664282636973125,3.1260236122299503,6.285232395226001,5.869400850016904,5.037377863010788,4.016419364753439,4.942322286038562,6.19797557295834,4.3588714648907185
2,4.416337560113357,4.799729170369782,5.916687276117734,4.51826980016241,3.9112947984228397,5.456394051865118,3.8258420952161534,3.922663661028428,7.533905713914397,5.611309322394814
2,3.3805666186711125,3.879528960977831,3.507477554664916,5.916002126221934,5.40916493735607,4.908442846960033,4.7354032279092095,4.91369447945763,5.650980154361366,4.025567687391754
2,4.044510011294961,5.265011111766301,3.9182596060768518,4.082910209606364,6.93502419225252,2.5073218291277284,4.412612055893948,3.2884984020579084,1.2199093921244546,5.800655259836755
2,5.982558844961405,4.911900782628963,4.481060866015257,3.4714815739649394,5.647405572739543,3.320875521472856,5.219040980024454,5.816976752015464,6.773447483891181,3.8355814771666474
2,6.899189562597019,6.009852950334875,7.810976416883053,3.970489078231058,6.792164711871159,3.524975354507919,4.26107123007453,6.702797969233264,3.5326798965767523,5.17380002529435
2,2.494126233896098,2.4816647817690085,3.9154910150380116,5.0318239355677665,4.710279236197666,5.927359289229909,1.6402366925210168,4.82314388282475,5.874353499680687,5.023823952992907
2,5.990850835000105,5.950033178846927,4.3820774612233535,5.161142301696852,6.895407816510518,6.535425664889382,6.52579799983917,4.094202476242676,5.166009391277406,4.119268378562302
2,6.24758068718409,5.685874277997585,5.764817586676936,5.365834557015597,3.8977891316390014,3.531305505640236,4.0092732055363305,3.9437811720954663,7.2332152523323145,6.228719837032889
2,6.460572806305087,4.343299995175516,3.472442930853191,5.088997933263554,5.140245554419571,3.8946053782492225,6.131154981753985,4.634060932160536,4.6164023255184725,3.383892225498016
2,5.414603301684288,5.613522939710151,7.034469873482444,6.510727621629225,6.150441044665312,5.290548111289891,5.388972585793237,5.651342794762309,4.61264733232448,2.7872085523888535
2,2.855812434344646,7.354822235433465,6.487485607015967,4.715061267943188,3.5738247944250743,5.1058473368507835,4.036374768860785,4.095211175586154,4.963774705724962,4.441587301842144
2,4.942649077644135,3.8660835195139356,4.39618737934368,4.591958848744749,5.34113221876317,4.286086488569382,5.415586562954649,5.368204209407267,3.9155631286338464,5.742460655050082
2,6.397579570773715,3.4081394402071865,6.825803878708393,6.44626897046006,5.833136569268989,3.7379031627104453,6.67368170488282,5.757750744782612,6.582281049426708,5.655032234139696
2,4.844640415103417,5.749534542511539,6.011272777442829,6.143236510611168,6.037154402461848,3.9610446980902703,4.231365573549162,5.688807533288846,4.961962274571629,4.971806928152321
2,6.045768925391923,3.8810648742309475,5.906387796363371,4.031565328069983,5.3391440978663525,3.9051931157648565,4.831883352125944,5.518197558720355,5.6844037106683825,4.378837528886229
2,3.535007883496768,4.800429366931855,5.442603506786056,3.8979696788012532,4.325677975809371,5.30291255757422,3.9834926876747083,4.6537031306787355,3.6926994583646797,4.075998236470662
2,3.0021475093037107,6.212360929610476,6.063677395149694,6.8172761645353,7.3602061518507345,3.5835903180106166,4.557236743208618,4.44484357800438,5.844648010051509,3.857958243485987
2,4.232570197348435,4.002861009761016,4.812056317772997,5.774862125951872,4.331901397680847,3.7826325422842038,4.848102150457915,5.0564734712654955,3.6975477027743557,5.034474380303653
2,7.705316034217554,3.161441289288095,4.006322891954228,5.534819447936127,6.300735213248688,4.825180564083383,4.258486744302163,6.384298968538749,6.963971166967417,4.541941441256795
2,2.0366479844206977,3.916988455032218,4.79887894265283,5.422340745917515,6.589693018672067,2.8067147980508134,4.216634328826107,5.400074023484311,3.38997432127611,4.003268185143974
3,9.47650190816064,3.2970293336312873,1.1298466470225046,2.522467800654943,4.4476642765301815,4.617702619612847,0.9990668036056346,4.377833654662405,6.6688781869710105,1.7951460088418971
3,5.291721526892963,3.937274464122346,4.929831579567942,3.3412806717965267,5.244708257092255,4.118572200828359,5.5858941285452115,3.955183463542732,6.914911706480963,3.675536357352513
3,6.26689768646115,5.4313862775864745,4.298169338184754,5.18757180127113,5.781179317969366,3.563798109652536,4.650530322912873,2.0810050228203494,3.907463891223369,6.459394851380531
3,3.994887739270532,4.492261085214063,4.175583490061159,6.371879703076864,3.7281720486470875,5.549280505714669,3.571384866014489,3.1943048606345728,6.559032712369454,5.100252876334243
3,4.815782190575997,4.134302994841842,2.8348388552495996,4.136660984447919,3.575394852200598,5.194141369363463,6.338748294862293,3.93893172142471,7.87937210531747,3.57275759677494
3,3.562408703682479,6.224253483413134,3.522716634195971,3.430701138577262,4.624697283981663,4.173660044775258,7.653048427964521,5.424665499702614,0.6308294884206468,5.493195474989926
3,6.411567715551354,5.908636665967831,5.567974259646112,3.19652479620605,7.537148757654693,4.444380649525922,4.750979423717937,3.279044783767105,4.55324297010888,5.360574924987699
3,5.437835813763531,6.125195501050531,5.630427460095579,5.058414645574634,5.1776650518869785,5.030972273507167,4.700860229916904,5.563276455544399,6.475379576820948,6.804030682844138
3,5.709933549787682,4.1243315943469465,1.898844022901917,6.628994956388381,8.39773797457697,4.7225394140849,6.24650945280214,3.517922714619773,7.527365096471306,3.958476423824883
3,3.575774737172903,5.640591315241261,5.874575052562182,5.255763096409671,5.455732121498639,4.201881038680355,5.765057708442485,5.5920484696824975,4.973068546725137,4.586449022785818
3,4.114968624337633,4.679402867204028,5.406534853284457,6.290976357752728,4.999727892071903,5.793364030464464,4.7792165125197075,4.480654824745149,3.441285610672973,4.0744236839766685
3,7.134833494797611,3.7169514829537054,3.6235714378708836,3.8378147040459996,7.58358806784765,6.567442918356508,3.7777989979359603,5.412280714832452,7.36575801290431,3.807807013793856
3,4.697786754275249,6.525300935529243,3.899785306346688,4.730799222921107,4.466675443434001,4.469871786491649,3.400670777883899,6.191619319883002,4.92279228765778,3.920842484983193
3,8.489078611090937,4.210682329375127,5.113137792603908,4.579015396920945,5.579796907907985,3.7887220973301456,4.968940367620918,4.306040355224717,5.217200947238591,4.074936370709687
3,4.881623061002989,3.8801984793423454,5.553622181533235,5.856015141710187,4.338911164284725,4.451407674787354,3.6478059117572643,5.368987664163081,5.630800992876756,5.343151922653313
3,5.82408970453221,3.915785356402876,5.804008207369558,4.311641158137096,6.975897540210996,4.6008096072720885,5.43171435397305,4.239690250278463,6.219889559490391,4.538964570521808
3,5.476858949687065,5.023482327213711,4.3992741240544895,3.5659589049227414,5.482488800300526,4.800516191510285,4.341238890202097,5.130949224123226,2.7324903649834433,4.820845417849413
3,5.372497273984734,4.803888777381559,6.429594700211615,7.019021934576954,5.238249841227314,5.655847117023935,7.6663204234575835,5.172284347420295,7.155865290679134,5.3262961780051015
3,5.5837547106203615,4.018152122789236,5.240221920281274,3.4298499739542376,3.348398613802514,3.555217771117646,5.9981938220862725,4.729383884696017,3.6984008019656183,4.337174237912332
3,6.216542871150204,4.360155253454318,6.565871130709414,4.909294924536288,6.033082580305334,3.598650866784679,6.291942678041464,3.9472450659788865,6.5835323609982925,2.8151659228576578
3,2.752991638670609,4.987107762193036,5.867127295413532,5.413605942314962,5.018189866247378,4.9095924662123505,6.684631936253696,5.520443977041834,5.885908942502194,5.724078485405817
3,2.9392960836005204,3.5372565926037285,3.6078549820977,4.054504062535186,3.750313211541386,6.464279906282975,3.7372912184411295,3.3617684356688007,4.2773010451708595,3.959747434832858
3,6.221046425040344,4.782830239802835,1.2982538562480168,4.6086458199517,8.319278925402639,5.004758321770687,6.210978377014007,4.223492039305164,4.928313969628607,4.868983496719908
3,4.875419816033614,7.370732724158736,5.666966702223486,5.816359742389705,5.265443726389837,4.864013041706403,2.4565253469632324,3.4808154026910367,5.693752729696041,3.9857789622901394
3,4.287228387640954,4.39761707636103,4.710632622199563,4.896356222639717,4.9528364385977355,5.107343424953531,3.31850307017816,4.042148732414204,4.651366230365258,4.324431128975437
3,5.265297796359542,4.976677027997427,6.353437899325933,4.618668667831032,4.935419714498626,5.689686071418262,4.608895064061409,4.877033532480217,9.386626331291009,5.00513423800442
3,4.456075480671404,5.670069428113236,5.300150943433042,5.706856743209775,5.156375427389805,5.489947573481704,4.690850912786841,5.2240437332600695,4.999629579420376,5.318599421118958
3,3.8261009477151133,4.458504445273331,4.184473944302919,3.7555651570700403,4.272441551642271,5.518581449801073,5.493035582048026,5.905920470022818,5.579196873714874,3.3370063832924304
3,4.320563624302296,3.969624849011506,6.1194828558013725,3.6121368483566454,5.206563766495236,5.193703151792752,5.642328619913816,3.7973202445582603,5.152103008730272,3.964573587046985
3,4.900192931047945,4.16819037624428,4.747958756745855,3.21919008253395,5.884102432916148,5.1905862389758335,5.477971606676678,5.866906580282619,4.811662987053894,4.627099125630195
4,2.9842736427852405,3.952437689743142,6.294981286162206,6.072756979594996,3.897919311988296,4.542184259817594,4.4673296731695356,3.2420164956816273,3.114024528271582,4.141151407141888
4,4.086007693285595,5.116308370934039,3.9505423025500344,5.219523706565556,3.4611626334973455,3.40216224578096,5.922296077927566,4.379702992860979,5.3965234451335125,5.490878965693858
4,2.8877877986980987,3.3148702673037644,3.6191522054088714,4.040742617682123,3.677286953065641,5.635992440796376,7.505187614274555,4.756080473568996,5.8104016638873945,4.998953434192619
4,3.878552884143607,4.4184216426274725,3.1789440868226966,5.028017754476878,5.901436870632074,2.8051712440711714,5.953471987343534,3.968171128233337,3.7638091803405316,3.671056437611027
4,4.205620150377355,4.362423697661018,3.7338581368459103,5.678009511871588,2.3013057977242437,4.835009939958708,5.805519245270828,7.241778830430672,3.010312581951635,4.372918163888431
4,4.677584822289236,5.481933922966204,6.044460425925039,5.447522318057104,5.064735065231826,4.381936085302049,5.0112823073544694,5.72560011242038,7.7430906700522275,5.515093324263952
