ParameterValue,Gene0_avg,Gene0_std,Gene1_avg,Gene1_std,Gene2_avg,Gene2_std,Gene3_avg,Gene3_std,Gene4_avg,Gene4_std
1e-05,5.491704295466492,4.811673528264882,4.855760531968176,4.956021006022703,4.945121216460897,4.447193138859947,4.705302347109839,5.144585987844048,4.598126628491314,5.023402775971644
1e-05,5.756387538554188,4.532957971565723,4.225570549484773,4.222285094174564,6.3950775905856005,5.828977581201633,5.237015432192287,5.086360448965913,4.6838894217575575,4.5840395898277535
1e-05,5.467538163079206,5.03936128828152,6.116375175727163,4.062631105359264,4.407567703068114,5.170133597804355,5.573161094243151,4.856807109742384,4.712626525309439,5.411579222859983
1e-05,5.527937913182435,5.388182555402663,5.467393104189599,4.397944774582148,6.096596497633682,5.176012803819197,5.7328111437692595,4.501505507069614,3.7625682381534338,5.790499608191287
1e-05,4.559873707383541,4.918030542633166,4.943118552888914,4.860269414264858,4.182926251036468,4.43517899303935,3.818191541728779,5.272286385772093,5.106521379572333,5.033135474373141
1e-05,4.834401900439484,4.582403175247768,5.31857640321668,4.372129497964793,4.695239558437041,4.336943319914437,4.347241293449977,5.56800023365949,5.625747953545876,4.1954892453134836
1e-05,5.668278051219532,5.4318714454240675,4.85080970167946,4.2975501554860305,4.93189493445162,5.059915618778683,5.88555354904304,4.923908634036541,5.385297705975191,5.5409316542147256
1e-05,5.28246464999815,4.954311935556567,5.913065862293191,5.588208425451977,6.863264357688542,3.9392911913265634,4.906289851173934,5.140878885510647,4.974115593574092,4.13502335210981
1e-05,6.77778523890499,4.567781465092111,4.696033628769964,5.265062679492899,5.838514428100973,4.154057383089078,6.087302757597628,4.765017864155445,5.034945184055186,4.99719969767489
1e-05,4.016485150982344,4.335830599102307,5.194179837346365,5.531859042152926,4.397428898921198,5.310052250446272,6.314670904479812,5.318989530894649,6.187267083002086,4.0856450278938405
1e-05,4.796532848787834,4.940518048258408,4.922827617515266,4.760275659935144,4.937294714116915,5.3348133228347505,5.289211219674362,4.477019909311613,4.005294820394359,4.758720398907317
1e-05,5.358990239260142,4.65019218100782,4.952961795718195,4.614427799763993,4.486052606010353,4.462597246734962,3.4963162500297464,5.270791275811612,4.212010425253439,5.139169231471183
1e-05,4.534375186122986,3.8071717209006675,3.8348380354491587,4.322495610244409,5.580225481937965,5.348550233782029,4.868391860242618,5.118124311557912,4.926635849022811,5.0207167111749635
1e-05,4.740140809888714,5.303685373020067,5.084728218124234,4.6724704440067,5.1951285592389125,5.357905875728861,4.740225347228514,5.366382451613875,4.953853661236664,4.073030437294828
1e-05,5.248896027936701,4.558173675438398,4.338180718592018,5.52301447304363,5.235414188025786,4.682468458103128,3.5507840474033125,5.112400783257778,5.582079440780351,4.245076594350704
1e-05,5.291259031000051,5.847791841767044,5.326253783167697,4.683873509472557,4.448885179864766,4.279281044342748,4.450661112203171,4.64387456823526,4.971483946495889,5.633873307751524
1e-05,4.783524710302243,4.842044642476835,5.4900854731716855,4.5167610629630595,4.374447894132818,5.234925870417386,4.966572531179925,5.309408325942331,6.531172356381339,5.817318327232233
1e-05,4.8024520301874,5.377276271643346,5.632599439840174,5.246619758550728,3.953229883731846,5.689761681536841,6.482671593546109,5.6302890755195785,5.112743029333872,5.568946512768054
1e-05,4.150731417228239,4.753064226967498,4.0523992021226904,4.912015742637582,3.7048327485634927,5.370551225415006,4.726302109563516,5.589949043520203,4.4284290155082715,4.91468593861749
1e-05,3.237605015885825,4.088456367402148,5.417012220295929,4.768460321859876,4.820749908094957,5.988141471340914,5.375041008317107,4.899037985547432,2.909839043477765,5.427589835824145
